"Title:","Vehicles in Fatal Crashes, by Vehicle Make / Model Year from the Fatal Traffic Accidents: Vehicles Involved Database"
"SubTitle:","USA - Model: All Models - Vehicle Year: All Vehicle Years"
"Time:","01/1975 - 12/2020"
"Unit of Measure:","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#"
"12/1978",11214,,,,216,12,,16,4,14,486,172,2646,160,,238,,10,562,,58,2308,28,,230,202,,12,,234,,106,,76,62,38,,42,,82,112,50,22,270,,,,482,,36,42,62,,470,632,18,,,,46,4,,28,,252,20,62,332,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"01/1979",8080,,,,134,22,,8,8,,358,138,1774,96,,194,,4,398,,26,1582,16,,236,122,,,,192,,98,,66,60,28,,16,,44,106,38,22,248,,14,,324,,30,28,68,,326,410,20,,,,60,,,36,,192,26,44,258,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"02/1979",8194,,,,110,20,,12,4,6,302,110,1846,94,,156,2,8,468,,22,1686,34,,230,122,,4,,224,,116,,52,78,38,,24,,56,110,12,16,210,,30,,368,,24,24,58,,328,464,14,,,,26,2,,14,,196,14,28,262,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"03/1979",10254,,,,192,16,,12,10,8,404,156,2374,118,,236,2,12,504,,30,1948,20,,232,264,,2,,226,,118,,48,76,70,,68,,64,108,34,18,314,,48,,470,,22,36,58,,358,534,12,,,,86,10,,32,,236,36,58,312,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"04/1979",10258,,,,140,12,,18,4,10,392,144,2392,134,,268,2,4,504,,32,1880,18,,228,350,,6,,208,,134,,70,86,136,,110,,66,86,28,16,290,,26,,442,,42,42,48,,392,524,14,,,,104,8,,22,,228,44,40,318,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"05/1979",10802,,,,156,10,,18,2,12,354,116,2346,116,,248,6,4,486,,38,1962,34,,290,478,,6,,240,,124,,72,92,230,,166,,60,96,38,20,282,,34,,442,,58,26,64,,400,558,6,,,,174,8,,34,,216,46,24,286,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"06/1979",10968,,,,166,8,,32,,20,342,128,2240,110,,266,6,10,538,,42,2018,20,,284,520,,4,,188,,128,,100,90,254,,238,,60,108,42,16,260,,50,,438,,94,50,58,,342,550,16,,,,222,10,,26,,224,58,44,268,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"07/1979",11596,,,,156,14,,24,4,16,380,138,2406,128,,262,4,20,548,,14,2064,22,,290,516,,2,,274,,118,,82,76,268,,198,,42,122,22,22,268,,40,,414,,110,86,92,,450,590,12,,,,232,14,,42,,230,84,58,318,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"08/1979",11716,,,,158,20,,24,6,34,358,130,2436,128,,238,6,8,554,,26,2230,42,2,296,542,,2,,300,,136,,104,78,230,,200,,64,120,42,28,268,,14,,448,,82,52,72,,418,572,16,,,,208,6,,16,,280,52,30,302,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"09/1979",11556,,,,148,14,,26,6,22,442,140,2616,130,,218,2,8,560,,38,2234,40,4,244,430,,8,,236,,118,,82,102,212,,190,,80,108,44,26,300,,36,,412,,70,50,70,,424,572,20,,,,146,2,,38,,264,44,30,270,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10/1979",11590,,,,172,18,,18,6,18,446,200,2716,146,,248,8,8,588,,38,2160,44,,238,276,,4,,306,,148,,86,98,118,,112,,76,116,44,22,310,,30,,508,,44,52,68,,434,632,16,,,,130,2,,32,,212,34,46,306,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"11/1979",10958,,,,182,6,,12,10,18,448,134,2516,178,,226,,4,632,,32,2150,50,,254,198,,10,,286,,114,,84,96,62,,56,,60,102,44,26,334,,40,,458,,26,30,80,,392,562,18,,,,90,2,,24,,246,26,56,314,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"12/1979",11632,,,,166,18,,34,6,8,444,194,2706,156,,306,4,6,646,,28,2330,32,2,302,220,,4,,240,,82,,132,102,44,,38,,74,98,64,24,342,,32,,514,,28,70,74,,392,680,22,,,,38,,,32,,268,24,40,332,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"01/1980",8600,,4,,136,16,,16,4,8,340,96,1916,112,,214,2,6,466,,20,1784,48,,200,128,,8,,168,,94,4,82,78,30,,40,,60,92,40,32,272,,14,,362,,20,10,70,,324,470,16,8,10,,38,2,,32,,212,10,34,278,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"02/1980",8126,,4,,108,2,2,6,2,6,336,128,1872,86,,214,,2,432,,26,1556,38,2,222,166,,10,,224,,60,,64,62,52,2,52,,68,66,50,16,258,,14,,318,,26,10,64,2,276,442,10,8,4,,44,,,32,,192,16,38,250,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"03/1980",8994,,,,154,10,4,20,6,8,364,108,2024,124,,240,2,2,456,,32,1758,18,,208,218,,6,,200,,90,2,84,60,100,,60,,58,94,48,16,234,,34,,394,,24,16,58,6,290,444,16,10,6,,96,2,,48,,222,22,52,252,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"04/1980",9358,,6,,134,10,4,10,4,12,346,118,1920,142,,240,,4,406,,34,1792,34,,238,342,,6,,144,,84,4,88,64,132,2,132,,68,102,44,24,226,,24,,444,,38,12,38,,346,470,24,4,6,,146,,,50,,246,52,44,246,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"05/1980",11146,,4,,136,12,2,30,,22,356,152,2368,142,,272,6,8,450,,32,2034,50,,270,522,,4,,192,,76,4,94,86,212,,172,,72,108,66,26,268,,32,,470,,86,16,70,4,324,592,22,14,6,,222,4,,28,,300,50,42,320,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"06/1980",11860,,6,,142,14,4,38,2,32,378,140,2534,168,,342,2,12,524,,44,2156,28,,236,536,,2,,190,,102,,160,94,270,2,236,,64,82,50,34,262,,24,,500,,92,24,40,8,420,552,14,4,4,,224,8,,50,,262,60,46,306,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"07/1980",11788,,2,2,140,14,4,30,,24,364,144,2486,128,,306,8,4,528,,22,2062,42,,336,580,,,,204,,86,6,152,94,252,,202,,80,86,50,24,268,,52,,476,,114,30,62,4,392,518,26,8,12,,212,10,,32,,312,70,46,316,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"08/1980",13070,,,,150,26,2,42,2,34,468,186,2930,130,,332,6,6,528,,22,2222,60,2,268,590,,8,,236,,72,2,146,88,250,,266,,70,118,56,38,390,,22,,600,,88,22,86,10,418,662,16,6,14,,222,2,,42,,350,46,82,272,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"09/1980",11004,,2,,154,10,2,32,2,20,352,136,2482,174,,260,4,2,576,,30,1990,38,,274,458,,,,268,,94,,82,62,218,2,182,,72,112,50,26,274,,20,,384,,72,12,68,4,344,538,16,4,2,,156,6,,22,,278,42,64,256,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10/1980",10790,,,,136,24,,22,6,16,456,170,2372,134,,270,2,12,528,,30,2040,78,,248,286,,6,,238,,108,6,112,104,110,,110,,62,108,40,34,262,,42,,490,,34,16,64,,392,546,16,6,10,,98,4,,36,,322,32,56,260,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"11/1980",10534,,2,,150,6,,20,6,14,432,144,2358,140,,312,,14,508,,40,2046,62,2,262,228,,4,,282,,72,4,124,112,70,,56,,62,98,42,20,280,,14,,508,,10,18,56,2,376,526,20,4,8,,80,4,,64,,308,32,50,266,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"12/1980",10586,,2,,158,36,4,20,4,4,412,176,2444,120,,294,,4,570,,28,2032,36,,270,172,,,,236,,70,,96,92,42,,38,,76,106,58,26,358,,16,,460,,20,14,56,6,390,618,6,8,8,,50,2,,56,,280,22,58,298,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"01/1981",8888,,2,2,160,16,2,30,6,10,330,132,2064,136,2,222,,6,400,,22,1732,68,,228,154,,2,,190,,56,4,96,76,44,,40,,66,100,46,22,238,,20,,398,6,14,,54,,326,518,10,12,,,42,,2,42,,250,24,116,260,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"02/1981",8556,,2,2,128,18,,30,4,2,352,142,1852,96,,246,2,6,434,,24,1654,54,,224,206,,2,,190,,58,2,50,88,56,,44,4,44,102,56,12,272,,16,,388,4,10,,62,2,264,460,8,4,18,,78,2,,38,,268,32,124,238,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"03/1981",9174,,4,2,120,8,2,12,2,10,324,140,2064,136,4,252,4,2,498,,50,1766,36,,166,272,,6,,208,,66,4,46,70,88,2,82,4,60,98,68,10,254,,20,,368,4,14,,46,8,332,414,14,8,12,,74,2,,38,,314,18,178,266,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"04/1981",9708,,6,,144,8,2,12,,6,364,138,2154,106,,302,,4,462,,24,1752,46,,206,342,,2,,210,,44,2,90,72,178,,136,2,44,110,50,24,242,,16,,490,,8,,54,4,314,450,8,6,6,,160,6,2,32,,280,42,166,232,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"05/1981",10528,,2,,156,16,4,12,2,8,368,152,2200,116,2,270,4,6,472,,34,1892,64,,212,378,,6,,184,,52,2,100,96,240,,154,2,68,108,56,40,276,,20,,472,4,28,2,50,,310,518,18,2,22,,166,8,2,52,,276,14,396,244,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"06/1981",10904,,2,8,140,14,2,38,8,14,348,128,2222,134,4,342,8,4,522,,40,1840,88,,258,436,,2,,230,2,76,4,100,96,238,,182,6,62,108,56,16,250,,22,,482,16,34,,64,6,364,492,14,8,6,,238,6,,36,,318,34,300,242,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"07/1981",11728,,2,,162,26,2,36,8,22,376,170,2424,144,8,350,4,4,530,,22,1982,70,,262,560,,6,,198,2,60,6,120,72,206,,202,,52,92,92,12,272,,20,,492,4,34,2,64,2,426,550,14,14,2,,178,4,2,56,,314,50,496,266,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"08/1981",12218,,4,2,180,20,4,26,,10,402,146,2434,138,,292,4,2,572,,38,2170,80,,296,588,,2,,250,4,70,2,126,108,250,,228,2,44,108,64,30,258,,36,,572,6,36,4,78,2,388,616,14,4,14,,220,6,2,56,,384,42,270,296,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"09/1981",10660,,4,2,132,14,,24,4,12,366,170,2144,122,2,296,6,6,548,,28,1984,78,,250,476,,4,,238,,60,2,106,88,168,2,150,,76,92,58,18,230,,24,,476,,22,6,66,2,370,498,20,12,4,,142,4,6,84,,316,20,194,270,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10/1981",10734,,2,,120,28,2,22,,12,412,156,2402,132,,298,4,6,516,,16,1994,84,,236,294,,2,,254,6,66,,92,80,134,,114,2,58,136,68,28,226,,14,,470,10,18,2,70,4,420,546,20,10,12,,114,,,46,,318,22,208,308,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"11/1981",10008,,,,104,16,4,16,4,10,430,146,2234,124,4,234,2,10,526,,28,1906,66,,234,240,,2,,194,2,54,2,78,98,68,,82,4,56,92,54,18,298,,10,,532,4,8,,64,4,316,542,22,10,6,,90,,,44,,350,22,190,254,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"12/1981",10222,,2,2,160,16,4,22,2,6,444,164,2256,152,,278,,10,532,,20,1956,72,,270,200,,4,,192,8,74,,80,78,40,2,48,2,60,112,70,36,294,,16,,524,4,8,,46,4,396,528,10,10,2,,44,2,,40,,350,18,178,298,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"01/1982",7542,,,2,112,6,4,14,2,2,282,106,1700,84,,268,2,6,366,,20,1412,66,,194,156,,4,,182,,40,2,86,58,28,,32,2,40,104,40,14,208,,14,,336,4,22,12,62,4,256,376,12,4,12,,34,2,,52,,244,8,182,182,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"02/1982",7202,,2,,98,12,2,18,2,6,302,110,1580,104,4,212,,2,334,,22,1254,40,,214,194,,,,172,2,58,2,64,68,48,2,48,,44,98,44,10,162,,20,,328,6,10,6,56,,242,354,14,14,10,,58,,,38,,252,10,158,192,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"03/1982",8514,,2,,142,26,2,24,6,6,320,106,1820,132,2,274,,6,420,,16,1550,66,,214,244,,4,,210,4,56,6,70,78,78,2,62,4,66,92,76,14,242,,18,,370,6,18,4,48,8,280,402,4,16,12,,96,,,30,,258,18,176,216,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"04/1982",9080,,2,2,104,10,2,28,2,6,358,130,1974,114,,246,4,2,420,,22,1562,74,,206,294,,10,,194,2,38,2,80,78,130,,108,,48,98,50,16,248,,28,,396,6,14,10,52,6,294,486,16,12,4,,136,2,2,36,,296,36,198,218,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"05/1982",9776,,4,4,108,6,,20,2,16,352,138,2020,98,2,294,,,462,,26,1612,48,2,222,478,,,,210,,54,2,92,70,174,,172,4,58,70,42,22,296,,24,,440,4,26,2,58,,302,452,24,10,6,,212,8,2,40,,310,16,214,230,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"06/1982",9750,,2,2,130,20,2,30,,14,316,130,2080,88,,314,6,4,392,,26,1690,68,2,198,410,,,,190,8,32,,90,94,184,2,194,4,36,98,36,28,258,,24,,432,6,16,20,74,6,308,432,14,8,8,,186,4,,46,,280,28,252,194,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"07/1982",10532,,2,2,142,8,4,46,2,18,350,94,2130,124,,316,4,10,482,,36,1798,74,,238,474,,,,206,2,74,6,102,80,264,,166,,64,102,56,22,206,,26,,450,4,26,36,52,4,364,474,12,6,4,,192,8,,54,,286,38,324,246,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"08/1982",10554,,,6,116,18,2,24,4,18,370,110,2122,106,,296,,6,478,,18,1886,68,,250,498,,4,,218,4,54,,120,94,228,2,190,2,66,120,52,18,290,,24,,472,,18,36,54,6,288,460,12,8,6,,230,4,,44,,306,22,290,220,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"09/1982",9892,,,,134,22,2,34,2,24,330,112,2176,134,,284,2,12,446,,32,1702,62,,230,390,,2,,218,4,42,4,70,88,174,,168,10,44,106,52,24,234,,20,,418,4,8,20,62,8,306,472,18,14,14,,182,2,2,40,,280,22,220,216,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10/1982",10242,,6,,142,14,,26,4,24,410,136,2234,120,,320,2,,464,,24,1868,88,,286,306,,6,,242,2,46,2,82,82,118,2,112,4,58,100,62,10,236,,22,,496,4,10,28,66,4,294,506,10,14,12,,114,4,,50,,288,22,244,258,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"11/1982",9006,,,4,114,8,,18,4,4,366,154,1948,84,,304,2,4,478,,22,1590,68,,216,198,,2,,210,6,48,4,120,104,54,,44,,88,104,76,30,238,,8,,482,12,8,32,44,,292,438,8,4,10,,58,,,46,,316,14,196,220,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"12/1982",9454,,,,122,16,,28,2,8,364,130,2100,120,,330,,2,490,,10,1728,72,,206,218,,4,,190,6,60,2,78,82,48,,34,2,40,106,62,22,282,,8,,442,6,6,8,74,8,378,454,18,18,16,,48,,,68,,316,16,260,240,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"01/1983",7346,,,6,88,14,,16,2,8,274,116,1546,116,2,260,,4,346,,16,1434,46,,208,198,,4,,150,8,48,4,52,106,38,,28,,36,76,40,18,176,,8,2,352,2,8,14,48,2,260,368,8,8,8,,42,,,62,,264,6,94,198,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"02/1983",6966,,2,4,78,14,,18,2,4,300,110,1552,106,2,216,2,2,386,,18,1306,78,,196,172,,,,140,,54,,58,66,30,2,48,2,36,76,54,16,166,,8,,284,4,6,26,48,6,238,306,2,8,6,,48,,,38,,256,8,116,172,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"03/1983",7758,,4,2,106,16,,30,8,8,366,126,1614,90,,260,4,4,344,,8,1514,66,2,216,196,,,,170,2,44,2,72,76,90,2,58,2,48,66,46,36,198,,8,2,340,6,8,14,44,6,236,384,8,16,2,,62,,,40,,314,10,80,192,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"04/1983",8304,,,,118,4,,24,2,4,358,106,1798,86,2,292,2,2,348,,16,1530,48,2,154,312,,2,,182,2,56,2,86,70,124,,80,2,52,98,68,20,218,,22,,348,4,20,16,46,4,230,428,12,8,4,,92,,,40,,278,22,116,212,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"05/1983",9282,,2,4,134,16,4,24,,4,330,112,1884,106,,314,,4,412,,14,1608,64,,236,410,,,,194,8,42,,96,92,158,2,136,6,56,90,60,26,226,,20,2,434,2,20,30,56,4,286,456,8,14,2,,160,8,,38,,290,28,144,220,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"06/1983",9460,,4,,98,8,2,28,4,10,328,110,1908,136,,324,2,4,432,,30,1686,72,,222,426,,,,202,2,48,,102,98,208,,148,4,42,102,40,26,224,,20,2,406,2,12,36,68,2,266,392,22,14,14,,172,4,,60,,290,28,160,212,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"07/1983",10380,,,6,134,16,,32,2,22,352,126,2150,120,2,290,,4,448,,18,1814,94,,276,562,,,,244,2,56,2,100,74,244,,204,8,46,70,70,34,258,,28,,344,2,18,42,62,2,272,430,16,20,18,,226,2,,52,,360,18,146,240,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"08/1983",10498,,,2,104,26,,22,6,18,354,112,2150,102,,366,4,4,450,,28,1802,86,,248,550,,,,226,8,50,4,130,104,192,,178,,46,110,54,20,230,,24,2,484,2,20,40,86,6,266,438,16,16,10,,200,4,,64,,318,34,230,230,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"09/1983",10140,,2,2,110,16,2,26,,12,380,144,2018,134,10,300,4,4,434,,22,1730,66,,264,464,,4,,276,,58,6,84,108,178,2,176,2,46,106,64,28,272,,20,,418,2,22,32,82,2,302,452,20,20,12,,156,4,2,40,,348,18,176,240,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10/1983",10106,,4,2,122,24,,18,,6,450,168,2262,116,2,312,,4,514,,26,1704,82,,270,368,,,,236,2,58,4,66,76,136,,94,8,68,126,70,32,196,,16,2,466,6,20,32,72,8,338,432,20,16,8,,106,2,,46,,340,10,158,228,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"11/1983",9262,,4,,96,26,2,16,,2,388,144,1992,114,,316,2,,410,,28,1740,84,,286,230,,,,246,4,60,2,66,68,56,2,42,4,52,100,50,30,250,,12,4,496,4,10,12,78,8,280,422,12,40,6,,68,,,50,,330,14,144,228,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"12/1983",9314,,2,6,152,24,2,12,4,10,394,136,1998,160,,384,,2,444,,14,1596,86,2,238,238,,2,,256,8,58,8,64,92,58,,24,4,58,112,90,20,274,,24,6,410,6,6,36,74,6,278,374,16,34,2,,36,,,54,,396,8,130,290,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"01/1984",7498,,2,,104,10,,14,6,4,276,106,1530,108,2,246,,6,394,,20,1450,68,,164,206,,2,,204,12,48,8,78,90,46,,30,4,38,88,46,20,174,,6,,380,,12,32,64,2,218,356,12,16,6,,56,,,50,,278,12,144,160,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"02/1984",7362,,2,2,98,18,,18,,2,274,98,1562,118,2,248,,4,362,,10,1292,88,,168,234,,,,186,2,60,,54,84,56,,56,4,50,96,80,14,190,,12,2,352,4,6,16,74,4,214,354,12,18,6,,80,,,48,,244,12,100,182,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"03/1984",8544,,6,,96,18,,22,,8,332,128,1772,110,,288,,2,400,,18,1510,80,,208,300,,2,,190,2,56,4,52,88,84,2,42,6,46,104,88,26,286,,10,4,442,4,6,18,52,6,230,380,8,20,12,,80,,,66,,332,8,156,218,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"04/1984",8398,,6,2,100,10,,22,,6,358,126,1672,108,2,336,4,6,370,,16,1456,72,,196,308,,,,168,12,40,2,56,94,140,,74,,42,90,72,32,198,,22,2,390,4,12,18,50,4,258,434,8,22,4,,110,2,,44,,332,26,146,170,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"05/1984",9784,,2,2,92,14,4,30,2,18,348,120,1850,136,2,296,2,2,440,,20,1790,80,,264,500,,8,,208,6,46,2,76,76,168,,134,4,58,120,90,30,258,,12,2,392,10,28,32,66,4,312,430,32,30,10,,174,,,44,,318,24,168,208,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"06/1984",10706,,6,6,126,16,2,28,2,18,382,146,2012,98,2,348,,,486,,10,1818,74,2,298,558,,4,,270,10,62,6,88,102,232,,156,4,70,134,58,30,224,,14,2,492,6,26,52,76,6,318,482,14,16,8,,218,2,,58,,358,30,224,210,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"07/1984",10892,,2,2,96,18,,28,,8,342,168,2086,112,,370,2,4,502,,24,1874,104,,280,568,,,,244,8,50,2,116,86,182,,144,4,66,152,84,28,244,,16,8,444,4,8,38,86,8,370,540,18,18,8,,206,2,,52,,412,18,218,222,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
